Abbreviation,TeamName,GridPosition,DriverPointsBefore,TeamPointsBefore,AvgFinishLast3,Podium
0,12,16.0,11.0,179.0,12.666666666666666,0
17,5,15.0,3.0,204.0,15.333333333333334,0
16,5,13.0,0.0,159.0,14.0,0
28,11,3.0,14.0,179.0,1.6666666666666667,1
20,11,2.0,142.0,78.0,2.3333333333333335,1
23,8,5.0,123.0,80.0,4.333333333333333,1
11,8,7.0,99.0,81.0,6.333333333333333,0
9,1,6.0,62.0,85.0,14.0,0
29,3,9.0,16.0,184.0,12.666666666666666,0
1,2,10.0,13.0,186.0,9.0,0
22,7,12.0,16.0,156.0,12.666666666666666,0
18,7,11.0,12.0,164.0,11.0,0
19,2,13.0,46.0,173.0,9.0,0
5,0,15.0,31.0,166.0,7.333333333333333,0
0,12,17.0,38.0,169.0,15.0,0
27,1,8.0,3.0,216.0,13.0,0
17,5,20.0,11.0,197.0,16.0,0
13,12,18.0,0.0,193.0,15.0,0
26,3,19.0,0.0,231.0,13.0,0
16,5,16.0,2.0,202.0,17.666666666666668,0
30,0,14.0,14.0,210.0,18.333333333333332,0
15,4,1.0,1.0,187.0,8.666666666666666,0
24,4,4.0,109.0,109.0,3.0,0
28,11,1.0,78.0,129.0,1.6666666666666667,1
24,4,3.0,167.0,81.0,8.666666666666666,1
11,8,4.0,97.0,131.0,5.666666666666667,1
23,8,8.0,77.0,88.0,3.6666666666666665,0
15,4,19.0,111.0,92.0,14.333333333333334,0
19,2,7.0,119.0,136.0,9.666666666666666,0
5,0,11.0,39.0,172.0,8.666666666666666,0
30,0,10.0,44.0,194.0,17.666666666666668,0
1,2,2.0,5.0,202.0,7.666666666666667,0
26,3,17.0,18.0,181.0,15.0,0
22,7,9.0,3.0,212.0,11.0,0
29,3,16.0,12.0,184.0,9.0,0
0,12,12.0,13.0,224.0,16.0,0
9,1,15.0,3.0,244.0,9.666666666666666,0
18,7,14.0,16.0,211.0,7.666666666666667,0
13,12,18.0,46.0,199.0,15.333333333333334,0
16,5,5.0,0.0,260.0,18.0,0
27,1,20.0,14.0,227.0,13.333333333333334,0
17,5,6.0,11.0,229.0,15.666666666666666,0
20,11,13.0,0.0,246.0,1.6666666666666667,0
24,4,1.0,123.0,101.0,8.0,1
20,11,4.0,122.0,137.0,7.666666666666667,1
11,8,5.0,141.0,103.0,5.0,1
15,4,3.0,93.0,95.0,9.333333333333334,0
1,2,7.0,131.0,141.0,7.666666666666667,0
18,7,6.0,28.0,186.0,10.0,0
28,11,2.0,54.0,205.0,1.6666666666666667,0
17,5,19.0,173.0,110.0,17.333333333333332,0
29,3,18.0,4.0,254.0,9.333333333333334,0
16,5,17.0,15.0,233.0,18.0,0
26,3,20.0,15.0,264.0,13.333333333333334,0
13,12,10.0,3.0,244.0,15.333333333333334,0
22,7,14.0,0.0,272.0,10.666666666666666,0
27,1,13.0,12.0,218.0,16.0,0
19,2,15.0,11.0,243.0,9.333333333333334,0
9,1,11.0,39.0,201.0,10.0,0
5,0,12.0,16.0,259.0,9.0,0
23,8,8.0,44.0,219.0,4.0,0
30,0,9.0,111.0,113.0,14.0,0
0,12,16.0,5.0,238.0,14.333333333333334,0
15,4,2.0,3.0,292.0,9.333333333333334,1
28,11,1.0,156.0,142.0,3.0,1
11,8,8.0,192.0,112.0,3.3333333333333335,1
23,8,4.0,108.0,116.0,8.333333333333334,0
19,2,6.0,123.0,120.0,10.333333333333334,0
17,5,9.0,49.0,206.0,13.666666666666666,0
18,7,10.0,12.0,270.0,10.0,0
16,5,7.0,60.0,225.0,14.666666666666666,0
22,7,11.0,19.0,278.0,10.666666666666666,0
1,2,19.0,14.0,234.0,7.0,0
5,0,0.0,29.0,216.0,11.666666666666666,0
0,12,15.0,44.0,249.0,15.0,0
26,3,12.0,3.0,304.0,12.333333333333334,0
30,0,13.0,3.0,257.0,15.0,0
9,1,14.0,5.0,263.0,11.666666666666666,0
27,1,16.0,16.0,274.0,15.0,0
29,3,18.0,11.0,290.0,9.0,0
24,4,3.0,15.0,274.0,7.666666666666667,0
13,12,17.0,122.0,160.0,14.333333333333334,0
20,11,5.0,0.0,323.0,8.0,0
28,11,2.0,141.0,132.0,3.3333333333333335,1
11,8,4.0,217.0,133.0,3.0,1
23,8,6.0,126.0,122.0,8.666666666666666,1
20,11,3.0,138.0,125.0,14.0,0
24,4,19.0,153.0,137.0,7.0,0
1,2,7.0,133.0,165.0,8.0,0
18,7,5.0,37.0,222.0,9.333333333333334,0
19,2,10.0,66.0,241.0,8.666666666666666,0
22,7,9.0,53.0,230.0,11.0,0
26,3,15.0,16.0,250.0,11.333333333333334,0
29,3,12.0,4.0,284.0,12.666666666666666,0
9,1,14.0,15.0,295.0,15.0,0
0,12,13.0,16.0,302.0,15.0,0
5,0,11.0,3.0,336.0,11.666666666666666,0
17,5,17.0,44.0,277.0,11.0,0
30,0,16.0,12.0,293.0,13.666666666666666,0
13,12,18.0,5.0,293.0,15.666666666666666,0
16,5,20.0,0.0,353.0,11.666666666666666,0
