Abbreviation,TeamName,GridPosition,DriverPointsBefore,TeamPointsBefore,AvgFinishLast3,Podium
3,5,19.0,0.0,6.0,14.0,0
4,6,14.0,6.0,20.0,18.0,0
2,8,13.0,0.0,6.0,7.666666666666667,0
19,5,18.0,44.0,133.0,11.333333333333334,0
18,7,1.0,14.0,20.0,2.6666666666666665,1
15,4,2.0,149.0,281.0,5.333333333333333,1
21,7,3.0,75.0,114.0,1.6666666666666667,1
28,11,4.0,147.0,296.0,2.3333333333333335,0
11,4,7.0,130.0,134.0,6.333333333333333,0
10,10,5.0,49.0,124.0,10.0,0
19,5,8.0,15.0,15.0,15.333333333333334,0
14,10,9.0,20.0,26.0,14.333333333333334,0
0,12,10.0,4.0,19.0,6.333333333333333,0
24,12,11.0,42.0,53.0,8.333333333333334,0
23,8,14.0,12.0,54.0,5.0,0
3,5,20.0,89.0,133.0,16.333333333333332,0
6,2,18.0,6.0,26.0,16.0,0
4,6,16.0,0.0,6.0,18.0,0
26,3,19.0,0.0,6.0,15.666666666666666,0
12,6,13.0,10.0,10.0,13.666666666666666,0
27,11,12.0,6.0,6.0,13.0,0
2,8,15.0,4.0,134.0,10.333333333333334,0
1,3,6.0,44.0,133.0,12.333333333333334,0
9,2,17.0,0.0,10.0,15.333333333333334,0
21,7,1.0,6.0,6.0,2.3333333333333335,1
18,7,2.0,172.0,321.0,1.6666666666666667,1
15,4,7.0,167.0,339.0,5.0,1
23,8,4.0,90.0,139.0,7.0,0
12,6,15.0,101.0,145.0,14.0,0
11,4,5.0,16.0,16.0,5.666666666666667,0
10,10,9.0,57.0,147.0,8.666666666666666,0
9,2,8.0,21.0,25.0,15.333333333333334,0
1,3,10.0,10.0,10.0,15.0,0
28,11,3.0,2.0,12.0,3.0,0
14,10,13.0,131.0,135.0,13.0,0
4,6,12.0,4.0,25.0,16.666666666666668,0
27,11,19.0,0.0,16.0,12.333333333333334,0
24,12,17.0,4.0,135.0,9.0,0
6,2,18.0,12.0,54.0,14.5,0
19,5,16.0,0.0,10.0,13.0,0
3,5,14.0,20.0,26.0,16.0,0
