Abbreviation,TeamName,GridPosition,DriverPointsBefore,TeamPointsBefore,AvgFinishLast3,Rainfall,AirTemp,Podium
VER,Red Bull Racing,1.0,83.0,119.0,3.0,True,26.5,0
ALB,Williams,7.0,93.0,95.0,10.0,True,26.5,0
ANT,Mercedes,3.0,30.0,35.0,7.666666666666667,True,26.5,0
LEC,Ferrari,8.0,44.0,127.0,3.6666666666666665,True,26.5,0
HAM,Ferrari,12.0,49.0,72.0,6.333333333333333,True,26.5,0
SAI,Williams,6.0,27.0,76.0,13.666666666666666,True,26.5,0
TSU,Red Bull Racing,10.0,7.0,37.0,13.333333333333334,True,26.5,0
HAD,Racing Bulls,11.0,3.0,96.0,10.333333333333334,True,26.5,0
OCO,Haas F1 Team,9.0,5.0,5.0,13.333333333333334,True,26.5,0
GAS,Alpine,20.0,14.0,20.0,13.333333333333334,True,26.5,0
HUL,Kick Sauber,16.0,6.0,6.0,17.0,True,26.5,0
ALO,Aston Martin,17.0,6.0,6.0,12.333333333333334,True,26.5,0
STR,Aston Martin,18.0,0.0,10.0,17.666666666666668,True,26.5,0
LAW,Racing Bulls,15.0,10.0,10.0,15.0,True,26.5,0
BOR,Kick Sauber,13.0,0.0,5.0,18.333333333333332,True,26.5,0
BEA,Haas F1 Team,19.0,0.0,6.0,11.0,True,26.5,0
DOO,Alpine,14.0,6.0,20.0,15.333333333333334,True,26.5,0
VER,Red Bull Racing,2.0,0.0,6.0,4.0,False,24.0,1
NOR,McLaren,4.0,118.0,121.0,3.0,False,24.0,1
PIA,McLaren,1.0,124.0,241.0,1.0,False,24.0,1
HAM,Ferrari,12.0,132.0,256.0,6.666666666666667,False,24.0,0
ALB,Williams,7.0,39.0,88.0,8.666666666666666,False,24.0,0
LEC,Ferrari,11.0,40.0,47.0,4.666666666666667,False,24.0,0
RUS,Mercedes,3.0,57.0,96.0,3.3333333333333335,False,24.0,0
SAI,Williams,6.0,89.0,133.0,12.0,False,24.0,0
HAD,Racing Bulls,9.0,11.0,51.0,11.333333333333334,False,24.0,0
TSU,Red Bull Racing,20.0,7.0,7.0,12.666666666666666,False,24.0,0
ALO,Aston Martin,5.0,4.0,122.0,13.666666666666666,False,24.0,0
HUL,Kick Sauber,17.0,0.0,10.0,16.333333333333332,False,24.0,0
GAS,Alpine,10.0,6.0,6.0,13.333333333333334,False,24.0,0
LAW,Racing Bulls,15.0,6.0,6.0,15.0,False,24.0,0
STR,Aston Martin,8.0,0.0,7.0,16.333333333333332,False,24.0,0
COL,Alpine,16.0,10.0,10.0,,False,24.0,0
BEA,Haas F1 Team,19.0,0.0,6.0,14.0,False,24.0,0
BOR,Kick Sauber,14.0,6.0,20.0,18.0,False,24.0,0
ANT,Mercedes,13.0,0.0,6.0,7.666666666666667,False,24.0,0
OCO,Haas F1 Team,18.0,44.0,133.0,11.333333333333334,False,24.0,0
NOR,McLaren,1.0,14.0,20.0,2.6666666666666665,False,22.4,1
LEC,Ferrari,2.0,149.0,281.0,5.333333333333333,False,22.4,1
PIA,McLaren,3.0,75.0,114.0,1.6666666666666667,False,22.4,1
VER,Red Bull Racing,4.0,147.0,296.0,2.3333333333333335,False,22.4,0
HAM,Ferrari,7.0,130.0,134.0,6.333333333333333,False,22.4,0
HAD,Racing Bulls,5.0,49.0,124.0,10.0,False,22.4,0
OCO,Haas F1 Team,8.0,15.0,15.0,15.333333333333334,False,22.4,0
LAW,Racing Bulls,9.0,20.0,26.0,14.333333333333334,False,22.4,0
ALB,Williams,10.0,4.0,19.0,6.333333333333333,False,22.4,0
SAI,Williams,11.0,42.0,53.0,8.333333333333334,False,22.4,0
RUS,Mercedes,14.0,12.0,54.0,5.0,False,22.4,0
BEA,Haas F1 Team,20.0,89.0,133.0,16.333333333333332,False,22.4,0
COL,Alpine,18.0,6.0,26.0,16.0,False,22.4,0
BOR,Kick Sauber,16.0,0.0,6.0,18.0,False,22.4,0
STR,Aston Martin,19.0,0.0,6.0,15.666666666666666,False,22.4,0
HUL,Kick Sauber,13.0,10.0,10.0,13.666666666666666,False,22.4,0
TSU,Red Bull Racing,12.0,6.0,6.0,13.0,False,22.4,0
ANT,Mercedes,15.0,4.0,134.0,10.333333333333334,False,22.4,0
ALO,Aston Martin,6.0,44.0,133.0,12.333333333333334,False,22.4,0
GAS,Alpine,17.0,0.0,10.0,15.333333333333334,False,22.4,0
PIA,McLaren,1.0,6.0,6.0,2.3333333333333335,False,29.2,1
NOR,McLaren,2.0,172.0,321.0,1.6666666666666667,False,29.2,1
LEC,Ferrari,7.0,167.0,339.0,5.0,False,29.2,1
RUS,Mercedes,4.0,90.0,139.0,7.0,False,29.2,0
HUL,Kick Sauber,15.0,101.0,145.0,14.0,False,29.2,0
HAM,Ferrari,5.0,16.0,16.0,5.666666666666667,False,29.2,0
HAD,Racing Bulls,9.0,57.0,147.0,8.666666666666666,False,29.2,0
GAS,Alpine,8.0,21.0,25.0,15.333333333333334,False,29.2,0
ALO,Aston Martin,10.0,10.0,10.0,15.0,False,29.2,0
VER,Red Bull Racing,3.0,2.0,12.0,3.0,False,29.2,0
LAW,Racing Bulls,13.0,131.0,135.0,13.0,False,29.2,0
BOR,Kick Sauber,12.0,4.0,25.0,16.666666666666668,False,29.2,0
TSU,Red Bull Racing,19.0,0.0,16.0,12.333333333333334,False,29.2,0
SAI,Williams,17.0,4.0,135.0,9.0,False,29.2,0
COL,Alpine,18.0,12.0,54.0,14.5,False,29.2,0
OCO,Haas F1 Team,16.0,0.0,10.0,13.0,False,29.2,0
BEA,Haas F1 Team,14.0,20.0,26.0,16.0,False,29.2,0
ANT,Mercedes,6.0,6.0,26.0,14.333333333333334,False,29.2,0
ALB,Williams,11.0,44.0,145.0,6.333333333333333,False,29.2,0
RUS,Mercedes,1.0,42.0,54.0,7.333333333333333,True,23.9,1
VER,Red Bull Racing,2.0,126.0,170.0,5.0,True,23.9,1
ANT,Mercedes,4.0,149.0,153.0,18.333333333333332,True,23.9,1
PIA,McLaren,3.0,59.0,185.0,2.3333333333333335,True,23.9,0
LEC,Ferrari,8.0,184.0,351.0,3.6666666666666665,True,23.9,0
HAM,Ferrari,5.0,100.0,157.0,5.0,True,23.9,0
ALO,Aston Martin,6.0,65.0,165.0,13.0,True,23.9,0
HUL,Kick Sauber,11.0,8.0,18.0,11.0,True,23.9,0
OCO,Haas F1 Team,14.0,20.0,20.0,14.333333333333334,True,23.9,0
SAI,Williams,16.0,22.0,28.0,10.666666666666666,True,23.9,0
BEA,Haas F1 Team,13.0,13.0,55.0,15.333333333333334,True,23.9,0
TSU,Red Bull Racing,18.0,6.0,28.0,13.333333333333334,True,23.9,0
COL,Alpine,10.0,4.0,153.0,14.666666666666666,True,23.9,0
BOR,Kick Sauber,15.0,0.0,10.0,14.666666666666666,True,23.9,0
GAS,Alpine,20.0,0.0,20.0,13.666666666666666,True,23.9,0
HAD,Racing Bulls,12.0,10.0,10.0,7.333333333333333,True,23.9,0
STR,Aston Martin,17.0,21.0,25.0,15.333333333333334,True,23.9,0
NOR,McLaren,7.0,10.0,18.0,1.6666666666666667,True,23.9,0
LAW,Racing Bulls,19.0,167.0,351.0,11.0,True,23.9,0
ALB,Williams,9.0,4.0,25.0,11.0,True,23.9,0
NOR,McLaren,1.0,42.0,55.0,7.0,False,30.5,1
PIA,McLaren,3.0,192.0,376.0,2.6666666666666665,False,30.5,1
LEC,Ferrari,2.0,202.0,394.0,3.3333333333333335,False,30.5,1
HAM,Ferrari,4.0,115.0,180.0,5.666666666666667,False,30.5,0
RUS,Mercedes,5.0,77.0,192.0,5.333333333333333,False,30.5,0
LAW,Racing Bulls,6.0,136.0,195.0,12.666666666666666,False,30.5,0
ALO,Aston Martin,11.0,12.0,33.0,11.666666666666666,False,30.5,0
BOR,Kick Sauber,8.0,14.0,24.0,13.333333333333334,False,30.5,0
HUL,Kick Sauber,20.0,4.0,24.0,9.666666666666666,False,30.5,0
OCO,Haas F1 Team,17.0,22.0,26.0,10.666666666666666,False,30.5,0
BEA,Haas F1 Team,15.0,23.0,29.0,13.333333333333334,False,30.5,0
HAD,Racing Bulls,13.0,6.0,29.0,9.666666666666666,False,30.5,0
GAS,Alpine,10.0,21.0,33.0,14.333333333333334,False,30.5,0
STR,Aston Martin,16.0,10.0,10.0,15.666666666666666,False,30.5,0
COL,Alpine,14.0,10.0,24.0,13.666666666666666,False,30.5,0
TSU,Red Bull Racing,18.0,0.0,10.0,14.0,False,30.5,0
ALB,Williams,12.0,4.0,153.0,16.0,False,30.5,0
VER,Red Bull Racing,7.0,42.0,55.0,5.333333333333333,False,30.5,0
ANT,Mercedes,9.0,149.0,153.0,13.0,False,30.5,0
SAI,Williams,19.0,59.0,195.0,11.333333333333334,False,30.5,0
NOR,McLaren,3.0,13.0,55.0,7.0,True,18.0,1
PIA,McLaren,2.0,217.0,419.0,2.3333333333333335,True,18.0,1
HUL,Kick Sauber,19.0,220.0,437.0,7.333333333333333,True,18.0,1
HAM,Ferrari,5.0,37.0,41.0,5.333333333333333,True,18.0,0
VER,Red Bull Racing,1.0,89.0,204.0,10.0,True,18.0,0
GAS,Alpine,8.0,159.0,163.0,12.0,True,18.0,0
STR,Aston Martin,17.0,18.0,18.0,15.333333333333334,True,18.0,0
ALB,Williams,13.0,16.0,30.0,18.666666666666668,True,18.0,0
ALO,Aston Martin,7.0,46.0,59.0,7.666666666666667,True,18.0,0
RUS,Mercedes,4.0,16.0,32.0,3.3333333333333335,True,18.0,0
BEA,Haas F1 Team,18.0,137.0,196.0,13.0,True,18.0,0
SAI,Williams,9.0,6.0,29.0,14.666666666666666,True,18.0,0
OCO,Haas F1 Team,14.0,13.0,59.0,11.666666666666666,True,18.0,0
LEC,Ferrari,6.0,23.0,29.0,3.6666666666666665,True,18.0,0
TSU,Red Bull Racing,11.0,115.0,204.0,13.666666666666666,True,18.0,0
ANT,Mercedes,10.0,4.0,163.0,13.333333333333334,True,18.0,0
HAD,Racing Bulls,12.0,59.0,196.0,11.666666666666666,True,18.0,0
BOR,Kick Sauber,16.0,21.0,33.0,11.333333333333334,True,18.0,0
LAW,Racing Bulls,15.0,4.0,41.0,12.0,True,18.0,0
COL,Alpine,20.0,12.0,33.0,14.333333333333334,True,18.0,0
PIA,McLaren,2.0,0.0,18.0,2.6666666666666665,True,17.3,1
NOR,McLaren,1.0,245.0,462.0,6.666666666666667,True,17.3,1
LEC,Ferrari,3.0,235.0,480.0,7.333333333333333,True,17.3,1
VER,Red Bull Racing,4.0,130.0,219.0,8.333333333333334,True,17.3,0
RUS,Mercedes,6.0,171.0,175.0,5.333333333333333,True,17.3,0
ALB,Williams,5.0,147.0,206.0,15.0,True,17.3,0
HAM,Ferrari,18.0,54.0,67.0,4.666666666666667,True,17.3,0
LAW,Racing Bulls,9.0,95.0,225.0,14.666666666666666,True,17.3,0
BOR,Kick Sauber,10.0,16.0,37.0,13.333333333333334,True,17.3,0
GAS,Alpine,13.0,6.0,43.0,11.333333333333334,True,17.3,0
BEA,Haas F1 Team,12.0,19.0,19.0,11.0,True,17.3,0
HUL,Kick Sauber,14.0,6.0,29.0,6.666666666666667,True,17.3,0
TSU,Red Bull Racing,7.0,37.0,43.0,14.333333333333334,True,17.3,0
STR,Aston Martin,16.0,4.0,175.0,12.666666666666666,True,17.3,0
OCO,Haas F1 Team,11.0,16.0,32.0,10.666666666666666,True,17.3,0
ANT,Mercedes,19.0,23.0,29.0,12.666666666666666,True,17.3,0
ALO,Aston Martin,20.0,59.0,206.0,7.666666666666667,True,17.3,0
SAI,Williams,17.0,16.0,32.0,14.0,True,17.3,0
COL,Alpine,15.0,13.0,67.0,16.0,True,17.3,0
HAD,Racing Bulls,8.0,0.0,19.0,15.0,True,17.3,0
