Abbreviation,TeamName,GridPosition,DriverPointsBefore,TeamPointsBefore,AvgFinishLast3,Rainfall,AirTemp,Podium
NOR,McLaren,1.0,0.0,0.0,,True,15.7,1
VER,Red Bull Racing,3.0,25.0,25.0,,True,15.7,1
RUS,Mercedes,4.0,18.0,18.0,,True,15.7,1
ANT,Mercedes,16.0,15.0,15.0,,True,15.7,0
ALB,Williams,6.0,12.0,27.0,,True,15.7,0
STR,Aston Martin,13.0,10.0,10.0,,True,15.7,0
HUL,Kick Sauber,17.0,8.0,8.0,,True,15.7,0
LEC,Ferrari,7.0,6.0,6.0,,True,15.7,0
PIA,McLaren,2.0,4.0,4.0,,True,15.7,0
HAM,Ferrari,8.0,2.0,27.0,,True,15.7,0
GAS,Alpine,9.0,1.0,5.0,,True,15.7,0
TSU,Racing Bulls,5.0,0.0,0.0,,True,15.7,0
OCO,Haas F1 Team,19.0,0.0,0.0,,True,15.7,0
BEA,Haas F1 Team,20.0,0.0,0.0,,True,15.7,0
LAW,Red Bull Racing,18.0,0.0,0.0,,True,15.7,0
BOR,Kick Sauber,15.0,0.0,18.0,,True,15.7,0
ALO,Aston Martin,12.0,0.0,6.0,,True,15.7,0
SAI,Williams,10.0,0.0,8.0,,True,15.7,0
DOO,Alpine,14.0,0.0,10.0,,True,15.7,0
HAD,Racing Bulls,11.0,0.0,0.0,,True,15.7,0
PIA,McLaren,1.0,0.0,0.0,9.0,False,27.3,1
NOR,McLaren,3.0,27.0,52.0,1.0,False,27.3,1
RUS,Mercedes,2.0,43.0,70.0,3.0,False,27.3,1
VER,Red Bull Racing,4.0,30.0,42.0,2.0,False,27.3,0
OCO,Haas F1 Team,11.0,30.0,30.0,13.0,False,27.3,0
ANT,Mercedes,8.0,10.0,10.0,4.0,False,27.3,0
ALB,Williams,10.0,20.0,50.0,5.0,False,27.3,0
BEA,Haas F1 Team,17.0,16.0,16.0,14.0,False,27.3,0
STR,Aston Martin,14.0,4.0,14.0,6.0,False,27.3,0
SAI,Williams,15.0,10.0,10.0,18.0,False,27.3,0
HAD,Racing Bulls,7.0,1.0,17.0,20.0,False,27.3,0
LAW,Red Bull Racing,20.0,0.0,0.0,15.0,False,27.3,0
DOO,Alpine,18.0,0.0,30.0,19.0,False,27.3,0
BOR,Kick Sauber,19.0,0.0,0.0,16.0,False,27.3,0
HUL,Kick Sauber,12.0,0.0,6.0,7.0,False,27.3,0
TSU,Racing Bulls,9.0,6.0,6.0,12.0,False,27.3,0
ALO,Aston Martin,13.0,0.0,0.0,17.0,False,27.3,0
LEC,Ferrari,6.0,0.0,10.0,8.0,False,27.3,0
HAM,Ferrari,5.0,4.0,5.0,10.0,False,27.3,0
GAS,Alpine,16.0,1.0,5.0,11.0,False,27.3,0
VER,Red Bull Racing,1.0,0.0,0.0,3.0,False,14.4,1
NOR,McLaren,2.0,55.0,55.0,1.5,False,14.4,1
PIA,McLaren,3.0,61.0,88.0,5.0,False,14.4,1
LEC,Ferrari,4.0,42.0,103.0,13.0,False,14.4,0
RUS,Mercedes,5.0,16.0,17.0,3.0,False,14.4,0
ANT,Mercedes,6.0,40.0,60.0,5.0,False,14.4,0
HAM,Ferrari,8.0,28.0,68.0,14.5,False,14.4,0
HAD,Racing Bulls,7.0,7.0,23.0,15.5,False,14.4,0
ALB,Williams,9.0,4.0,4.0,6.0,False,14.4,0
BEA,Haas F1 Team,10.0,18.0,19.0,11.0,False,14.4,0
ALO,Aston Martin,12.0,5.0,15.0,17.0,False,14.4,0
TSU,Red Bull Racing,14.0,0.0,10.0,14.0,False,14.4,0
GAS,Alpine,11.0,0.0,55.0,15.5,False,14.4,0
SAI,Williams,15.0,0.0,0.0,14.0,False,14.4,0
DOO,Alpine,19.0,1.0,19.0,16.0,False,14.4,0
HUL,Kick Sauber,16.0,0.0,0.0,11.0,False,14.4,0
LAW,Racing Bulls,13.0,6.0,6.0,13.5,False,14.4,0
OCO,Haas F1 Team,18.0,0.0,4.0,9.0,False,14.4,0
BOR,Kick Sauber,17.0,10.0,15.0,15.0,False,14.4,0
STR,Aston Martin,20.0,0.0,6.0,7.5,False,14.4,0
PIA,McLaren,1.0,10.0,10.0,4.333333333333333,False,26.9,1
RUS,Mercedes,3.0,67.0,128.0,3.6666666666666665,False,26.9,1
NOR,McLaren,6.0,58.0,86.0,1.6666666666666667,False,26.9,1
LEC,Ferrari,2.0,76.0,143.0,10.0,False,26.9,0
HAM,Ferrari,9.0,28.0,35.0,12.0,False,26.9,0
VER,Red Bull Racing,7.0,17.0,45.0,2.3333333333333335,False,26.9,0
GAS,Alpine,4.0,63.0,63.0,14.666666666666666,False,26.9,0
OCO,Haas F1 Team,14.0,6.0,6.0,12.0,False,26.9,0
TSU,Red Bull Racing,10.0,14.0,19.0,13.333333333333334,False,26.9,0
BEA,Haas F1 Team,20.0,2.0,65.0,10.666666666666666,False,26.9,0
ANT,Mercedes,5.0,6.0,20.0,5.333333333333333,False,26.9,0
ALB,Williams,15.0,28.0,86.0,7.0,False,26.9,0
HAD,Racing Bulls,12.0,18.0,19.0,13.0,False,26.9,0
DOO,Alpine,11.0,4.0,4.0,15.666666666666666,False,26.9,0
ALO,Aston Martin,13.0,0.0,6.0,15.0,False,26.9,0
LAW,Racing Bulls,17.0,0.0,10.0,14.666666666666666,False,26.9,0
STR,Aston Martin,19.0,0.0,4.0,11.666666666666666,False,26.9,0
BOR,Kick Sauber,18.0,10.0,10.0,16.333333333333332,False,26.9,0
SAI,Williams,8.0,0.0,6.0,14.0,False,26.9,0
HUL,Kick Sauber,16.0,1.0,19.0,12.666666666666666,False,26.9,0
PIA,McLaren,2.0,6.0,6.0,1.6666666666666667,False,29.05,1
VER,Red Bull Racing,1.0,92.0,168.0,3.6666666666666665,False,29.05,1
LEC,Ferrari,4.0,81.0,83.0,8.666666666666666,False,29.05,1
NOR,McLaren,10.0,43.0,60.0,2.3333333333333335,False,29.05,0
RUS,Mercedes,3.0,88.0,180.0,3.3333333333333335,False,29.05,0
ANT,Mercedes,5.0,68.0,96.0,7.666666666666667,False,29.05,0
HAM,Ferrari,7.0,36.0,104.0,10.333333333333334,False,29.05,0
SAI,Williams,6.0,23.0,66.0,14.333333333333334,False,29.05,0
ALB,Williams,11.0,5.0,23.0,9.333333333333334,False,29.05,0
HAD,Racing Bulls,14.0,20.0,25.0,10.666666666666666,False,29.05,0
ALO,Aston Martin,13.0,5.0,5.0,14.333333333333334,False,29.05,0
LAW,Racing Bulls,12.0,0.0,10.0,15.0,False,29.05,0
BEA,Haas F1 Team,15.0,0.0,5.0,9.333333333333334,False,29.05,0
OCO,Haas F1 Team,19.0,6.0,20.0,10.333333333333334,False,29.05,0
HUL,Kick Sauber,18.0,14.0,20.0,17.0,False,29.05,0
STR,Aston Martin,16.0,6.0,6.0,15.333333333333334,False,29.05,0
DOO,Alpine,17.0,10.0,10.0,14.0,False,29.05,0
BOR,Kick Sauber,20.0,0.0,6.0,17.0,False,29.05,0
TSU,Red Bull Racing,8.0,0.0,6.0,12.333333333333334,False,29.05,0
GAS,Alpine,9.0,2.0,83.0,13.333333333333334,False,29.05,0
PIA,McLaren,4.0,6.0,6.0,1.6666666666666667,True,26.5,1
NOR,McLaren,2.0,117.0,205.0,3.0,True,26.5,1
RUS,Mercedes,5.0,106.0,223.0,4.0,True,26.5,1
